,Method,Scene,Time
0,R3T,0,4.621549606323242
1,R3T,0,6.160322427749634
2,R3T,0,2.3760714530944824
3,R3T,0,5.433932065963745
4,R3T,0,5.86669921875
5,R3T,0,5.999574422836304
6,R3T,0,130.0
7,R3T,0,2.1265125274658203
8,R3T,0,22.80554223060608
9,R3T,0,6.416193008422852
10,R3T,0,2.8086886405944824
11,R3T,0,4.526431083679199
12,R3T,0,3.006754159927368
13,R3T,0,130.0
14,R3T,0,5.155224800109863
15,R3T,0,5.372135639190674
16,R3T,0,4.5361034870147705
17,R3T,0,2.102720260620117
18,R3T,0,20.013538122177124
19,R3T,0,1.389857530593872
20,R3T,0,9.61152172088623
21,R3T,0,3.601576805114746
22,R3T,0,2.5068507194519043
23,R3T,0,130.0
24,R3T,0,2.3187811374664307
25,R3T,0,2.788785219192505
26,R3T,0,4.787541389465332
27,R3T,0,130.0
28,R3T,0,1.7165307998657227
29,R3T,0,10.987435579299927
30,R3T,1,7.366739988327026
31,R3T,1,7.221396207809448
32,R3T,1,5.419152021408081
33,R3T,1,130.0
34,R3T,1,7.322731018066406
35,R3T,1,130.0
36,R3T,1,13.514466762542725
37,R3T,1,6.0667643547058105
38,R3T,1,4.294996738433838
39,R3T,1,130.0
40,R3T,1,16.574215412139893
41,R3T,1,4.264883041381836
42,R3T,1,8.630014419555664
43,R3T,1,5.446765661239624
44,R3T,1,6.033898830413818
45,R3T,1,4.908719539642334
46,R3T,1,7.024321556091309
47,R3T,1,5.111051559448242
48,R3T,1,130.0
49,R3T,1,6.8129658699035645
50,R3T,1,3.634286403656006
51,R3T,1,6.748990535736084
52,R3T,1,7.229588747024536
53,R3T,1,7.21418571472168
54,R3T,1,37.095040798187256
55,R3T,1,130.0
56,R3T,1,8.697365045547485
57,R3T,1,5.458308935165405
58,R3T,1,5.078951835632324
59,R3T,1,7.904649019241333
60,R3T,2,6.92707085609436
61,R3T,2,1.9962255954742432
62,R3T,2,3.866353988647461
63,R3T,2,5.3126702308654785
64,R3T,2,3.2172141075134277
65,R3T,2,7.76345682144165
66,R3T,2,3.1157050132751465
67,R3T,2,2.8187875747680664
68,R3T,2,2.7085659503936768
69,R3T,2,7.917765855789185
70,R3T,2,8.243241548538208
71,R3T,2,4.438523292541504
72,R3T,2,5.26464056968689
73,R3T,2,2.992708683013916
74,R3T,2,1.8989853858947754
75,R3T,2,1.8078815937042236
76,R3T,2,11.487906455993652
77,R3T,2,3.2360541820526123
78,R3T,2,2.550421714782715
79,R3T,2,2.3541550636291504
80,R3T,2,4.893319129943848
81,R3T,2,130.0
82,R3T,2,2.5098915100097656
83,R3T,2,5.6170594692230225
84,R3T,2,3.6561713218688965
85,R3T,2,7.370872259140015
86,R3T,2,4.176863431930542
87,R3T,2,3.936819314956665
88,R3T,2,2.724033832550049
89,R3T,2,4.109459400177002
90,R3T,3,8.166592836380005
91,R3T,3,9.079821348190308
92,R3T,3,4.701964855194092
93,R3T,3,9.829568147659302
94,R3T,3,5.0669004917144775
95,R3T,3,7.083402395248413
96,R3T,3,45.080196380615234
97,R3T,3,130.0
98,R3T,3,35.50892972946167
99,R3T,3,6.781428813934326
100,R3T,3,45.21618843078613
101,R3T,3,12.30398178100586
102,R3T,3,4.40387225151062
103,R3T,3,4.188166379928589
104,R3T,3,5.962818145751953
105,R3T,3,6.984877586364746
106,R3T,3,4.6205949783325195
107,R3T,3,4.98148512840271
108,R3T,3,7.667104721069336
109,R3T,3,5.626486301422119
110,R3T,3,24.495274782180786
111,R3T,3,5.853874206542969
112,R3T,3,4.795556306838989
113,R3T,3,6.672628879547119
114,R3T,3,4.840111017227173
115,R3T,3,6.774210214614868
116,R3T,3,4.177042007446289
117,R3T,3,7.994837522506714
118,R3T,3,5.715062618255615
119,R3T,3,4.534262657165527
120,R3T,4,2.725292205810547
121,R3T,4,4.480730056762695
122,R3T,4,3.876802682876587
123,R3T,4,4.127713441848755
124,R3T,4,4.504524230957031
125,R3T,4,6.068427801132202
126,R3T,4,2.964621067047119
127,R3T,4,2.867624282836914
128,R3T,4,3.309086322784424
129,R3T,4,2.6780765056610107
130,R3T,4,3.286701202392578
131,R3T,4,4.064309120178223
132,R3T,4,3.0026638507843018
133,R3T,4,4.0434043407440186
134,R3T,4,3.538078546524048
135,R3T,4,2.750641345977783
136,R3T,4,9.677714109420776
137,R3T,4,4.4232017993927
138,R3T,4,2.5625030994415283
139,R3T,4,3.399571180343628
140,R3T,4,6.820515155792236
141,R3T,4,3.644352674484253
142,R3T,4,4.77374005317688
143,R3T,4,6.621866703033447
144,R3T,4,3.5922770500183105
145,R3T,4,3.8259780406951904
146,R3T,4,4.403822660446167
147,R3T,4,4.113539934158325
148,R3T,4,3.57419490814209
149,R3T,4,10.916640043258667
150,R3T_old,0,5.14792537689209
151,R3T_old,0,5.0658183097839355
152,R3T_old,0,7.263731479644775
153,R3T_old,0,4.444675445556641
154,R3T_old,0,4.805283546447754
155,R3T_old,0,9.040960550308228
156,R3T_old,0,6.0100603103637695
157,R3T_old,0,7.853192329406738
158,R3T_old,0,4.142531394958496
159,R3T_old,0,20.889553546905518
160,R3T_old,0,2.236927032470703
161,R3T_old,0,6.165650367736816
162,R3T_old,0,2.5812788009643555
163,R3T_old,0,6.483109712600708
164,R3T_old,0,30.767965078353882
165,R3T_old,0,4.112195730209351
166,R3T_old,0,2.774597644805908
167,R3T_old,0,7.05930757522583
168,R3T_old,0,5.797884941101074
169,R3T_old,0,4.163120269775391
170,R3T_old,0,5.962139129638672
171,R3T_old,0,130.0
172,R3T_old,0,9.229437828063965
173,R3T_old,0,6.895764350891113
174,R3T_old,0,1.8558788299560547
175,R3T_old,0,130.0
176,R3T_old,0,2.8734703063964844
177,R3T_old,0,6.744071006774902
178,R3T_old,0,7.387059211730957
179,R3T_old,0,5.435502290725708
180,R3T_old,1,46.95657467842102
181,R3T_old,1,22.290196895599365
182,R3T_old,1,14.852118968963623
183,R3T_old,1,27.88230037689209
184,R3T_old,1,13.932231664657593
185,R3T_old,1,38.938652992248535
186,R3T_old,1,15.084782600402832
187,R3T_old,1,12.853517770767212
188,R3T_old,1,17.183677434921265
189,R3T_old,1,12.605092763900757
190,R3T_old,1,15.997849702835083
191,R3T_old,1,15.470795154571533
192,R3T_old,1,9.161986589431763
193,R3T_old,1,16.029797792434692
194,R3T_old,1,14.007721662521362
195,R3T_old,1,130.0
196,R3T_old,1,8.165506839752197
197,R3T_old,1,7.6449503898620605
198,R3T_old,1,6.098909139633179
199,R3T_old,1,130.0
200,R3T_old,1,9.404110193252563
201,R3T_old,1,8.664734125137329
202,R3T_old,1,11.294105529785156
203,R3T_old,1,7.340632677078247
204,R3T_old,1,11.442875385284424
205,R3T_old,1,9.677226543426514
206,R3T_old,1,12.037314176559448
207,R3T_old,1,12.806706428527832
208,R3T_old,1,8.545150518417358
209,R3T_old,1,40.17652201652527
210,R3T_old,2,3.8493456840515137
211,R3T_old,2,3.2869412899017334
212,R3T_old,2,3.610419988632202
213,R3T_old,2,2.3484199047088623
214,R3T_old,2,3.2957143783569336
215,R3T_old,2,2.5609986782073975
216,R3T_old,2,5.247095108032227
217,R3T_old,2,8.176449298858643
218,R3T_old,2,2.826963186264038
219,R3T_old,2,4.2309651374816895
220,R3T_old,2,6.26115870475769
221,R3T_old,2,3.7914063930511475
222,R3T_old,2,2.344770908355713
223,R3T_old,2,2.9034512042999268
224,R3T_old,2,7.093727350234985
225,R3T_old,2,3.4151346683502197
226,R3T_old,2,6.830608129501343
227,R3T_old,2,4.3031325340271
228,R3T_old,2,3.1122958660125732
229,R3T_old,2,2.6458771228790283
230,R3T_old,2,3.5280227661132812
231,R3T_old,2,3.7812917232513428
232,R3T_old,2,3.7683494091033936
233,R3T_old,2,3.3875341415405273
234,R3T_old,2,3.1388978958129883
235,R3T_old,2,6.057418584823608
236,R3T_old,2,3.346811056137085
237,R3T_old,2,9.641337394714355
238,R3T_old,2,5.160961151123047
239,R3T_old,2,6.9523766040802
240,R3T_old,3,130.0
241,R3T_old,3,31.42166233062744
242,R3T_old,3,6.592786550521851
243,R3T_old,3,3.350794792175293
244,R3T_old,3,4.632959604263306
245,R3T_old,3,7.0254881381988525
246,R3T_old,3,130.0
247,R3T_old,3,7.789593935012817
248,R3T_old,3,5.877764463424683
249,R3T_old,3,9.205441236495972
250,R3T_old,3,6.0685319900512695
251,R3T_old,3,8.719778060913086
252,R3T_old,3,3.844139575958252
253,R3T_old,3,7.85119104385376
254,R3T_old,3,6.770891427993774
255,R3T_old,3,6.305931568145752
256,R3T_old,3,7.280487537384033
257,R3T_old,3,4.397435665130615
258,R3T_old,3,4.859738349914551
259,R3T_old,3,4.881688594818115
260,R3T_old,3,3.212583065032959
261,R3T_old,3,6.099625587463379
262,R3T_old,3,7.674049615859985
263,R3T_old,3,10.511219501495361
264,R3T_old,3,16.220385313034058
265,R3T_old,3,15.318015336990356
266,R3T_old,3,5.049881219863892
267,R3T_old,3,37.43015217781067
268,R3T_old,3,5.677607536315918
269,R3T_old,3,4.678654432296753
270,R3T_old,4,5.577188014984131
271,R3T_old,4,5.134800672531128
272,R3T_old,4,5.422773122787476
273,R3T_old,4,3.4980480670928955
274,R3T_old,4,6.23493218421936
275,R3T_old,4,3.7252609729766846
276,R3T_old,4,17.675299406051636
277,R3T_old,4,6.493588209152222
278,R3T_old,4,3.498619794845581
279,R3T_old,4,5.414183855056763
280,R3T_old,4,16.02491784095764
281,R3T_old,4,6.013853311538696
282,R3T_old,4,4.693767547607422
283,R3T_old,4,3.279628038406372
284,R3T_old,4,4.935623645782471
285,R3T_old,4,5.1032187938690186
286,R3T_old,4,4.085060358047485
287,R3T_old,4,2.9193124771118164
288,R3T_old,4,2.5738985538482666
289,R3T_old,4,3.4659805297851562
290,R3T_old,4,9.112764596939087
291,R3T_old,4,4.7684760093688965
292,R3T_old,4,21.185410022735596
293,R3T_old,4,7.366088151931763
294,R3T_old,4,5.679219722747803
295,R3T_old,4,3.4718687534332275
296,R3T_old,4,3.2433695793151855
297,R3T_old,4,8.885490417480469
298,R3T_old,4,2.820868492126465
299,R3T_old,4,10.98043441772461
